Code,Description,Unit,,,Category
OH12-,Overhead door & hardware - 12' x 7' - Standard grade,EA,&,$737.25,
OH12+,Overhead door & hardware - 12' x 7' - High grade,EA,&,$939.25,
OH12++,Overhead door & hardware - 12' x 7' - Premium grade,EA,&,"$1,177.57",
OH12++>,Overhead door & hardware - 12' x 8' - Premium grade,EA,&,"$1,418.38",
OH12+>,Overhead door & hardware - 12' x 8' - High grade,EA,&,"$1,242.87",
OH12>,Overhead door & hardware - 12' x 8',EA,&,"$1,057.87",
OH12->,Overhead door & hardware - 12' x 8' - Standard grade,EA,&,$983.70,
OH16,Overhead door & hardware - 16' x 7',EA,&,$915.64,
OH16-,Overhead door & hardware - 16' x 7' - Standard grade,EA,&,$847.64,
OH16+,Overhead door & hardware - 16' x 7' - High grade,EA,&,"$1,112.54",
OH16++,Overhead door & hardware - 16' x 7' - Premium grade,EA,&,"$1,244.13",
OH16++>,Overhead door & hardware - 16' x 8' - Premium grade,EA,&,"$1,537.51",
OH16+>,Overhead door & hardware - 16' x 8' - High grade,EA,&,"$1,335.57",
OH16>,Overhead door & hardware - 16' x 8',EA,&,"$1,298.57",
OH16->,Overhead door & hardware - 16' x 8' - Standard grade,EA,&,"$1,025.57",
OH18,Overhead door & hardware - 18' x 7',EA,&,"$1,062.64",
OH18-,Overhead door & hardware - 18' x 7' - Standard grade,EA,&,$997.64,
OH18+,Overhead door & hardware - 18' x 7' - High grade,EA,&,"$1,240.63",
OH18++,Overhead door & hardware - 18' x 7' - Premium grade,EA,&,"$1,586.59",
OH18++>,Overhead door & hardware - 18' x 8' - Premium grade,EA,&,"$1,874.99",
OH18+>,Overhead door & hardware - 18' x 8' - High grade,EA,&,"$1,457.57",
OH18>,Overhead door & hardware - 18' x 8',EA,&,"$1,324.57",
OH18->,Overhead door & hardware - 18' x 8' - Standard grade,EA,&,"$1,066.57",
OH8,Overhead door & hardware - 8' x 7',EA,&,$643.45,
OH8-,Overhead door & hardware - 8' x 7' - Standard grade,EA,&,$512.27,
OH8+,Overhead door & hardware - 8' x 7' - High grade,EA,&,$720.45,
OH8++,Overhead door & hardware - 8' x 7' - Premium grade,EA,&,$936.45,
OH8++>,Overhead door & hardware - 8' x 8' - Premium grade,EA,&,$971.77,
OH8+>,Overhead door & hardware - 8' x 8' - High grade,EA,&,$925.36,
OH8>,Overhead door & hardware - 8' x 8',EA,&,$766.36,
OH8->,Overhead door & hardware - 8' x 8' - Standard grade,EA,&,$746.36,
OH9,Overhead door & hardware - 9' x 7',EA,&,$652.45,
OH9-,Overhead door & hardware - 9' x 7' - Standard grade,EA,&,$545.32,
OH9+,Overhead door & hardware - 9' x 7' - High grade,EA,&,$751.45,
OH9++,Overhead door & hardware - 9' x 7' - Premium grade,EA,&,"$1,028.45",
OH9++>,Overhead door & hardware - 9' x 8' - Premium grade,EA,&,"$1,107.36",
OH9+>,Overhead door & hardware - 9' x 8' - High grade,EA,&,$969.36,
OH9>,Overhead door & hardware - 9' x 8',EA,&,$877.36,
OH9->,Overhead door & hardware - 9' x 8' - Standard grade,EA,&,$755.36,
OHBPS,Overhead door bottom panel weather seal w/track,LF,#ERROR!,$8.55,
OHDORMN,Overhead Door - Labor Minimum,EA,#ERROR!,$144.68,
OHDWS,Overhead door weather stop,LF,#ERROR!,$2.33,
OHH10,"Overhead door, 10' x 7' - hardwood overlay",EA,&,"$4,475.83",
OHH10>,"Overhead door, 10' x 8' - hardwood overlay",EA,&,"$5,082.51",
OHH12,"Overhead door, 12' x 7' - hardwood overlay",EA,&,"$4,909.67",
OHH12>,"Overhead door, 12' x 8' - hardwood overlay",EA,&,"$5,575.51",
OHH16,"Overhead door, 16' x 7' - hardwood overlay",EA,&,"$5,803.33",
OHH16>,"Overhead door, 16' x 8' - hardwood overlay",EA,&,"$6,595.92",
OHH18,"Overhead door, 18' x 7' - hardwood overlay",EA,&,"$6,265.33",
OHH18>,"Overhead door, 18' x 8' - hardwood overlay",EA,&,"$7,120.92",
OHINSK,Overhead door insulation kit,EA,#ERROR!,$179.83,
