Category,Selection,Description
DOR,X,Exterior Door
PNT,XDOR,Prime & paint door slab only - exterior (per side)
FNH,DORHX,Door lockset - exterior
CLN,X,Clean exterior door (per side)
FNH,DBX,Door lockset & deadbolt - exterior
FNH,DBXRS,Door lockset & deadbolt - exterior - Detach & reset
DOR,XRETRO,Additional charge for a retrofit exterior door
DOR,XRETRO>,Additional charge for a retrofit exterior door - large
DOR,XRETR+,Additional charge for a retrofit exterior door - difficult
PNT,FRXS,Stain & finish French door slab only - exterior (per side)
,,
ELE,OSCOV,Electrical outlet or switch
ELE,110,"110 volt copper wiring run, box and outlet"
ELEOLR,OLR,Phone/low voltage outlet rough-in
MSDOHC,OHC,Outlet hole - cut into mirror
SDGVINYLB,VINYLB,Light/outlet J-block - vinyl
WPROS,OS,Additional labor charge to cover outlet/switch plates
ELEOSBOX,OSBOX,Outlet box - includes 4 connectors and plaster ring
,,
FCV,AV,Snap lock laminate flooring
CLN,F,"Clean floor, strip & wax"
CLN,F-,Clean floor
FCV,PREP,Floor preparation for resilient flooring
PNT,MASKFL,Floor protection - self-adhesive plastic film
PNT,MASKSF>,Floor protection - plastic and tape - 10 mil
,,
LIT,AV,Light fixture
PNT,MASKL,Mask and cover large light fixture
PNT,MASKL-,Mask and cover light fixture
CLN,LIT,Clean light fixture
CLN,LIT+,Clean light fixture - high detail
CLN,FL,Clean light fixture - fluorescent
CLN,BATH,Clean bathroom fixtures
LIT,AVC,Light fixture (cover only) - medium size
LIT,AVC<,Light fixture (cover only) - small size
LIT,AVC>,Light fixture (cover only) - large size
,,
LIT,HG,Hanging  light fixture
CLN,LIT,Clean light fixture
CLN,LIT+,Clean light fixture - high detail
PNT,MASKL,Mask and cover large light fixture
PNT,MASKL-,Mask and cover light fixture
CLN,CHAN,Clean chandelier
CLN,CHAN++,Clean chandelier - with crystal
,,
LIT,R,Recessed lights
CLN,LIT,Clean light fixture
CLN,LIT+,Clean light fixture - high detail
PNT,MASKL,Mask and cover large light fixture
PNT,MASKL-,Mask and cover light fixture
,,
PLM,PSNK,Pedestal sink
CLN,SNKPE,Clean sink - pedestal
