,Code,Description,Unit,,,Category
420,DHC,Dryer - Heavy commercial - 25-35 lb capacity,EA,&,"$3,417.38",
421,DHC>,Dryer - Heavy commercial - 40-50 lb capacity,EA,&,"$3,844.95",
422,DHC>>,Dryer - Heavy commercial - 60-75 lb capacity,EA,&,"$4,178.49",
423,DHC>>>,Dryer - Heavy commercial - 120 lb capacity,EA,&,"$8,191.10",
424,DHCCB,Dryer - Commercial - coin box,EA,&,$120.06,
425,DHCRS,Dryer - Heavy commercial - Remove & reset - gas/electric,EA,#ERROR!,$148.40,
426,DHCS,Dryer - Heavy commercial - stackable - 30-45 lb capacity,EA,&,"$6,246.54",
427,DRYC,Dryer - Light commercial,EA,&,$689.66,
428,DRYC>,Dryer - Light commercial - Large,EA,&,$948.99,
430,DRYE-,Dryer - Electric - Standard grade,EA,&,$463.34,
431,DRYE+,CT-W15:W19,EA,&,$974.35,
432,DRYE++,Dryer - Electric - Premium grade,EA,&,"$1,198.35",
433,DRYE+++,Dryer - Electric - Deluxe grade,EA,&,"$1,506.47",
434,DRYG,Dryer - Gas,EA,&,$811.56,
435,DRYG-,Dryer - Gas - Standard grade,EA,&,$591.56,
436,DRYG+,Dryer - Gas - High grade,EA,&,"$1,111.56",
437,DRYG++,Dryer - Gas - Premium grade,EA,&,"$1,321.56",
438,DRYG+++,Dryer - Gas - Deluxe grade,EA,&,"$1,525.13",
439,DRYGRS,Dryer - Remove & reset - gas,EA,#ERROR!,$64.30,
440,DRYRS,Dryer - Remove & reset,EA,#ERROR!,$20.63,
441,DRYS,Dryer - Light commercial - stackable,EA,&,"$1,668.56",
443,DW-,Dishwasher - Standard grade,EA,&,$389.37,
444,DW+,Dishwasher - High grade,EA,&,$849.53,
445,DW++,Dishwasher - Premium grade,EA,&,"$1,089.34",
446,DW+++,Dishwasher - Deluxe grade,EA,&,"$1,593.82",
447,DWRS,Dishwasher - Detach & reset,EA,#ERROR!,$168.65,
448,FRBI,"Built-in freezer - 36""",EA,&,"$4,330.70",
449,FRBI+,"Built-in freezer - 36"" - High grade",EA,&,"$4,973.54",
450,FRBI++,"Built-in freezer - 36"" - Premium grade",EA,&,"$5,950.13",
451,FRZRS,Freezer - Remove & reset,EA,#ERROR!,$27.50,
452,GD,Garbage disposer,EA,&,$216.17,
